fio;Xiaomi;Apple;Samsung;Huawei;Nokia;Oppo;OnePlus;Realme;Google;Meizu
Anka;6;6;6;7;6;6;5;5;8;6
Maksim;9;8;10;7;5;5;7;7;10;8
Dima;8;7;7;10;6;5;5;8;7;5
Alina;5;7;8;6;4;2;1;1;1;4
Levon;3;9;8;9;3;7;7;7;8;6
Artem ;0;8;8;0;0;0;0;0;0;0
Onyame;7;6;9;6;7;7;6;7;5;6
Olek;10;10;10;7;4;4;8;3;3;3
Andryushka;10;6;6;8;5;6;7;7;6;9
Kseniya;8;8;8;8;7;6;6;6;7;7
Dinara;10;9;10;9;7;5;6;7;5;6
Roma;8;5;6;6;7;6;7;10;8;7
Natalya;9;6;10;8;5;5;6;6;6;5
Irina;8;7;7;6;5;6;6;6;6;5
Yulya;6;6;10;3;6;0;0;0;0;1
IlyaF;6;7;4;6;7;8;5;6;8;5
Seryy;8;0;5;7;6;0;1;4;0;3
Nikita;5;2;0;0;0;0;4;0;7;0
IlyaT;5;5;5;5;5;5;5;5;5;5
Kostya;5;3;8;8;4;4;4;3;3;3
Aleksandr;6;7;9;6;5;5;4;5;5;6
Diana;4;6;10;4;5;0;2;2;3;3
