	Xiaomi	Apple	Samsung	Huawei	Nokia	Oppo	OnePlus	Realme	Google	Meizu
a	6	6	6	7	6	6	5	5	8	6
b	9	8	10	7	5	5	7	7	10	8
c	8	7	7	10	6	5	5	8	7	5
d	5	7	8	6	4	2	1	1	1	4
e	3	9	8	9	3	7	7	7	8	6
f 	0	8	8	0	0	0	0	0	0	0
g	7	6	9	6	7	7	6	7	5	6
r	10	10	10	7	4	4	8	3	3	3
t	10	6	6	8	5	6	7	7	6	9
y	8	8	8	8	7	6	6	6	7	7
u	10	9	10	9	7	5	6	7	5	6
i	8	5	6	6	7	6	7	10	8	7
o	9	6	10	8	5	5	6	6	6	5
p	8	7	7	6	5	6	6	6	6	5
v	6	6	10	3	6	0	0	0	0	1
s	6	7	4	6	7	8	5	6	8	5
re	8	0	5	7	6	0	1	4	0	3
ve	5	2	0	0	0	0	4	0	7	0
n	5	5	5	5	5	5	5	5	5	5
h	5	3	8	8	4	4	4	3	3	3
j	6	7	9	6	5	5	4	5	5	6
k	4	6	10	4	5	0	2	2	3	3
